columna,nulos,porcentaje_nulos,vacios,porcentaje_vacios
Código Dane departamento,0,0.0,0,0.0
Departamento,0,0.0,0,0.0
Código Dane municipio,0,0.0,0,0.0
Municipio,0,0.0,0,0.0
Grupo cultivo,0,0.0,0,0.0
Subgrupo,0,0.0,0,0.0
Cultivo,0,0.0,0,0.0
Desagregación cultivo,0,0.0,0,0.0
Año,0,0.0,0,0.0
Periodo,0,0.0,0,0.0
Área sembrada,0,0.0,0,0.0
Área cosechada,0,0.0,0,0.0
Producción,0,0.0,0,0.0
Rendimiento,0,0.0,0,0.0
Ciclo del cultivo,0,0.0,0,0.0
Estado físico del cultivo,0,0.0,0,0.0
Código del cultivo,0,0.0,0,0.0
Nombre científico del cultivo,0,0.0,0,0.0
