tipo,codigo,valor
municipio_nombre_multiples_codigos,18029 | 44035 | 68020,Albania
municipio_nombre_multiples_codigos,25019 | 52019,Albán
municipio_nombre_multiples_codigos,05055 | 19050 | 76054,Argelia
municipio_nombre_multiples_codigos,05059 | 63001,Armenia
municipio_nombre_multiples_codigos,19075 | 66075,Balboa
municipio_nombre_multiples_codigos,05079 | 68077,Barbosa
municipio_nombre_multiples_codigos,15087 | 52083,Belén
municipio_nombre_multiples_codigos,05093 | 68092,Betulia
municipio_nombre_multiples_codigos,19100 | 68101 | 76100,Bolívar
municipio_nombre_multiples_codigos,05107 | 15106,Briceño
municipio_nombre_multiples_codigos,15109 | 23079 | 70110 | 63111,Buenavista
municipio_nombre_multiples_codigos,25120 | 68121,Cabrera
municipio_nombre_multiples_codigos,13140 | 95015,Calamar
municipio_nombre_multiples_codigos,05129 | 15131,Caldas
municipio_nombre_multiples_codigos,08141 | 76130,Candelaria
municipio_nombre_multiples_codigos,52203 | 86219,Colón
municipio_nombre_multiples_codigos,05206 | 68207,Concepción
municipio_nombre_multiples_codigos,05209 | 47205,Concordia
municipio_nombre_multiples_codigos,13212 | 52215 | 63212,Córdoba
municipio_nombre_multiples_codigos,13268 | 25258 | 68250,El Peñón
municipio_nombre_multiples_codigos,19256 | 52260,El Tambo
municipio_nombre_multiples_codigos,18001 | 19290,Florencia
municipio_nombre_multiples_codigos,05313 | 25312 | 50313,Granada
municipio_nombre_multiples_codigos,05315 | 41319 | 68320,Guadalupe
municipio_nombre_multiples_codigos,47318 | 50318,Guamal
municipio_nombre_multiples_codigos,05368 | 15368,Jericó
municipio_nombre_multiples_codigos,20621 | 68397,La Paz
municipio_nombre_multiples_codigos,05400 | 52399 | 70400 | 76400,La Unión
municipio_nombre_multiples_codigos,19397 | 25402,La Vega
municipio_nombre_multiples_codigos,15401 | 76403,La Victoria
municipio_nombre_multiples_codigos,15455 | 95200,Miraflores
municipio_nombre_multiples_codigos,13473 | 19473,Morales
municipio_nombre_multiples_codigos,25473 | 52473,Mosquera
municipio_nombre_multiples_codigos,05483 | 25483 | 52480,Nariño
municipio_nombre_multiples_codigos,17524 | 41530,Palestina
municipio_nombre_multiples_codigos,52565 | 88564,Providencia
municipio_nombre_multiples_codigos,18592 | 50590,Puerto Rico
municipio_nombre_multiples_codigos,15514 | 19517,Páez
municipio_nombre_multiples_codigos,50606 | 76606,Restrepo
municipio_nombre_multiples_codigos,25612 | 52612,Ricaurte
municipio_nombre_multiples_codigos,05615 | 68615,Rionegro
municipio_nombre_multiples_codigos,17614 | 27615,Riosucio
municipio_nombre_multiples_codigos,05628 | 08638 | 85300,Sabanalarga
municipio_nombre_multiples_codigos,17653 | 47675,Salamina
municipio_nombre_multiples_codigos,68669 | 88001,San Andrés
municipio_nombre_multiples_codigos,25649 | 52685,San Bernardo
municipio_nombre_multiples_codigos,05649 | 23678,San Carlos
municipio_nombre_multiples_codigos,25653 | 54673,San Cayetano
municipio_nombre_multiples_codigos,05652 | 25658 | 86755,San Francisco
municipio_nombre_multiples_codigos,05660 | 73678,San Luis
municipio_nombre_multiples_codigos,20770 | 50689,San Martín
municipio_nombre_multiples_codigos,68686 | 86757,San Miguel
municipio_nombre_multiples_codigos,13670 | 52693,San Pablo
municipio_nombre_multiples_codigos,70717 | 76670,San Pedro
municipio_nombre_multiples_codigos,05679 | 52696 | 68705,Santa Bárbara
municipio_nombre_multiples_codigos,15690 | 41676,Santa María
municipio_nombre_multiples_codigos,13683 | 19701,Santa Rosa
municipio_nombre_multiples_codigos,54680 | 86760,Santiago
municipio_nombre_multiples_codigos,19785 | 68773 | 70771,Sucre
municipio_nombre_multiples_codigos,19780 | 73770,Suárez
municipio_nombre_multiples_codigos,05819 | 54820,Toledo
municipio_nombre_multiples_codigos,05856 | 18860,Valparaíso
municipio_nombre_multiples_codigos,05861 | 25506,Venecia
municipio_nombre_multiples_codigos,13873 | 44874 | 68872 | 85440,Villanueva
