Año,Periodo,registros,area_sembrada_promedio,area_cosechada_registros,produccion_registros,rendimiento_registros
2019,2019,24,24,24,24,24
2019,2019A,6732,6732,6732,6732,6732
2019,2019B,5658,5658,5658,5658,5658
2020,2020,27,27,27,27,27
2020,2020A,6903,6903,6903,6903,6903
2020,2020B,5994,5994,5994,5994,5994
2021,2021,47,47,47,47,47
2021,2021A,7654,7654,7654,7654,7654
2021,2021B,6717,6717,6717,6717,6717
2022,2022,54,54,54,54,54
2022,2022A,7818,7818,7818,7818,7818
2022,2022B,7363,7363,7363,7363,7363
2023,2023,53,53,53,53,53
2023,2023A,7833,7833,7833,7833,7833
2023,2023B,7407,7407,7407,7407,7407
2024,2024,56,56,56,56,56
2024,2024A,8013,8013,8013,8013,8013
2024,2024B,7585,7585,7585,7585,7585
2025,2025,50,50,50,50,50
2025,2025A,8071,8071,8071,8071,8071
2025,2025B,7617,7617,7617,7617,7617
