Código Dane municipio,Municipio,Código del cultivo,Cultivo,Año,Periodo,Ciclo del cultivo,Área sembrada,Área cosechada,Producción,Rendimiento,metrica_cero
5004,Abriaquí,1081001,Yuca,2022,2022B,Transitorio,"0,00","3,00","12,00","4,00",area_sembrada_num
5030,Amagá,1051200,Cebolla de rama,2024,2024B,Transitorio,"0,00","2,00","22,60","11,30",area_sembrada_num
5030,Amagá,1060200,Frijol,2023,2023B,Transitorio,"0,00","6,80","8,16","1,20",area_sembrada_num
5030,Amagá,1081001,Yuca,2022,2022B,Transitorio,"0,00","15,00","225,00","15,00",area_sembrada_num
5030,Amagá,1081001,Yuca,2023,2023B,Transitorio,"0,00","13,50","202,50","15,00",area_sembrada_num
5031,Amalfi,1010402,Maíz,2022,2022B,Transitorio,"0,00","100,00","110,00","1,10",area_sembrada_num
5031,Amalfi,1010402,Maíz,2023,2023B,Transitorio,"0,00","140,00","154,00","1,10",area_sembrada_num
5031,Amalfi,1010402,Maíz,2024,2024B,Transitorio,"0,00","160,00","176,00","1,10",area_sembrada_num
5031,Amalfi,1010402,Maíz,2025,2025B,Transitorio,"0,00","158,00","173,80","1,10",area_sembrada_num
5038,Angostura,1081001,Yuca,2024,2024B,Transitorio,"0,00","0,50","2,50","5,00",area_sembrada_num
5040,Anorí,1010404,Maíz,2024,2024B,Transitorio,"0,00","12,00","9,00","0,75",area_sembrada_num
5042,Santa Fé de Antioquia,1060200,Frijol,2023,2023B,Transitorio,"0,00","12,00","16,80","1,40",area_sembrada_num
5042,Santa Fé de Antioquia,1060200,Frijol,2024,2024B,Transitorio,"0,00","12,00","16,80","1,40",area_sembrada_num
5042,Santa Fé de Antioquia,1060200,Frijol,2025,2025B,Transitorio,"0,00","11,50","16,10","1,40",area_sembrada_num
5042,Santa Fé de Antioquia,1010402,Maíz,2023,2023B,Transitorio,"0,00","12,00","14,40","1,20",area_sembrada_num
5042,Santa Fé de Antioquia,1010402,Maíz,2024,2024B,Transitorio,"0,00","12,00","14,40","1,20",area_sembrada_num
5042,Santa Fé de Antioquia,1010402,Maíz,2025,2025B,Transitorio,"0,00","14,00","16,80","1,20",area_sembrada_num
5042,Santa Fé de Antioquia,1052902,Tomate,2024,2024B,Transitorio,"0,00","1,00","50,00","50,00",area_sembrada_num
5045,Apartadó,1081001,Yuca,2022,2022B,Transitorio,"0,00","394,00","4.334,00","11,00",area_sembrada_num
5045,Apartadó,1081001,Yuca,2023,2023B,Transitorio,"0,00","526,00","5.786,00","11,00",area_sembrada_num
5045,Apartadó,1081001,Yuca,2024,2024B,Transitorio,"0,00","448,00","4.928,00","11,00",area_sembrada_num
5045,Apartadó,1081001,Yuca,2025,2025B,Transitorio,"0,00","277,20","3.049,20","11,00",area_sembrada_num
5051,Arboletes,1080699,Ñame,2022,2022A,Transitorio,"0,00","309,00","4.326,00","14,00",area_sembrada_num
5051,Arboletes,1080699,Ñame,2023,2023A,Transitorio,"0,00","378,00","5.292,00","14,00",area_sembrada_num
5051,Arboletes,1081001,Yuca,2022,2022A,Transitorio,"0,00","400,00","6.000,00","15,00",area_sembrada_num
5051,Arboletes,1081001,Yuca,2023,2023A,Transitorio,"0,00","529,00","7.935,00","15,00",area_sembrada_num
5055,Argelia,1081001,Yuca,2022,2022B,Transitorio,"0,00","33,00","231,00","7,00",area_sembrada_num
5055,Argelia,1081001,Yuca,2023,2023B,Transitorio,"0,00","37,50","262,50","7,00",area_sembrada_num
5055,Argelia,1081001,Yuca,2024,2024B,Transitorio,"0,00","8,00","56,00","7,00",area_sembrada_num
5086,Belmira,1010404,Maíz,2025,2025A,Transitorio,"0,00","20,00","40,00","2,00",area_sembrada_num
5086,Belmira,1080702,Papa,2025,2025A,Transitorio,"0,00","50,00","450,00","9,00",area_sembrada_num
5091,Betania,1081001,Yuca,2022,2022A,Transitorio,"0,00","8,00","144,00","18,00",area_sembrada_num
5091,Betania,1081001,Yuca,2023,2023A,Transitorio,"0,00","5,00","75,00","15,00",area_sembrada_num
5093,Betulia,1060200,Frijol,2022,2022B,Transitorio,"0,00","19,00","13,30","0,70",area_sembrada_num
5093,Betulia,1060200,Frijol,2023,2023B,Transitorio,"0,00","19,00","13,30","0,70",area_sembrada_num
5093,Betulia,1060200,Frijol,2024,2024B,Transitorio,"0,00","9,00","6,30","0,70",area_sembrada_num
5093,Betulia,1060200,Frijol,2025,2025B,Transitorio,"0,00","20,00","14,00","0,70",area_sembrada_num
5093,Betulia,1010402,Maíz,2022,2022B,Transitorio,"0,00","23,00","57,50","2,50",area_sembrada_num
5093,Betulia,1010402,Maíz,2023,2023B,Transitorio,"0,00","23,00","57,50","2,50",area_sembrada_num
5093,Betulia,1010402,Maíz,2024,2024B,Transitorio,"0,00","11,00","27,50","2,50",area_sembrada_num
