Código Dane departamento,Departamento,Código Dane municipio,Municipio,Grupo cultivo,Subgrupo,Cultivo,Desagregación cultivo,Año,Periodo,Ciclo del cultivo,Área sembrada,Área cosechada,Producción,Rendimiento,Código del cultivo,area_sembrada_num,area_cosechada_num,diferencia_ha,ratio_cosechada_sembrada
05,Antioquia,05001,Medellín,Leguminosas,Leguminosas,Frijol,Frijol,2022,2022A,Transitorio,"13,55","30,00","57,90","1,93",1060200,13.55,30.0,16.45,2.214022140221402
05,Antioquia,05001,Medellín,Leguminosas,Leguminosas,Frijol,Frijol,2023,2023A,Transitorio,"10,00","16,00","20,80","1,30",1060200,10.0,16.0,6.0,1.6
05,Antioquia,05001,Medellín,Leguminosas,Leguminosas,Frijol,Frijol,2024,2024A,Transitorio,"9,50","14,00","18,20","1,30",1060200,9.5,14.0,4.5,1.4736842105263157
05,Antioquia,05001,Medellín,Leguminosas,Leguminosas,Haba,Haba,2022,2022A,Transitorio,"0,15","30,00","8,89","0,30",1060500,0.15,30.0,29.85,200.0
05,Antioquia,05001,Medellín,Hortalizas,Hortalizas,Otras hortalizas,Otras hortalizas,2024,2024A,Transitorio,"34,00","36,00","252,00","7,00",1059900,34.0,36.0,2.0,1.0588235294117647
05,Antioquia,05001,Medellín,Raíces y tubérculos,Raíces y tubérculos,Papa,Papa todas las variedades,2023,2023B,Transitorio,"42,00","80,00","1.280,00","16,00",1080701,42.0,80.0,38.0,1.9047619047619047
05,Antioquia,05001,Medellín,Raíces y tubérculos,Raíces y tubérculos,Papa,Papa todas las variedades,2024,2024A,Transitorio,"38,00","42,00","672,00","16,00",1080701,38.0,42.0,4.0,1.105263157894737
05,Antioquia,05001,Medellín,Raíces y tubérculos,Raíces y tubérculos,Papa,Papa todas las variedades,2025,2025A,Transitorio,"32,00","45,00","720,00","16,00",1080701,32.0,45.0,13.0,1.40625
05,Antioquia,05001,Medellín,Raíces y tubérculos,Raíces y tubérculos,Papa,Papa todas las variedades,2025,2025B,Transitorio,"38,00","63,00","1.008,00","16,00",1080701,38.0,63.0,25.0,1.6578947368421053
05,Antioquia,05001,Medellín,Hortalizas,Hortalizas de hoja,Repollo,Repollo,2023,2023B,Transitorio,"2,50","3,50","105,00","30,00",1052800,2.5,3.5,1.0,1.4
05,Antioquia,05001,Medellín,Raíces y tubérculos,Raíces y tubérculos,Yuca,Yuca consumo en fresco,2023,2023A,Transitorio,"1,50","3,00","45,00","15,00",1081001,1.5,3.0,1.5,2.0
05,Antioquia,05001,Medellín,Raíces y tubérculos,Raíces y tubérculos,Yuca,Yuca consumo en fresco,2024,2024A,Transitorio,"1,50","2,20","33,00","15,00",1081001,1.5,2.2,0.7000000000000002,1.4666666666666668
05,Antioquia,05002,Abejorral,Leguminosas,Leguminosas,Frijol,Frijol,2022,2022B,Transitorio,"80,00","135,00","202,50","1,50",1060200,80.0,135.0,55.0,1.6875
05,Antioquia,05002,Abejorral,Leguminosas,Leguminosas,Frijol,Frijol,2024,2024A,Transitorio,"80,00","85,00","127,50","1,50",1060200,80.0,85.0,5.0,1.0625
05,Antioquia,05002,Abejorral,Cereales,Cereales,Maíz,Maíz blanco tradicional,2022,2022A,Transitorio,"40,00","50,00","100,00","2,00",1010404,40.0,50.0,10.0,1.25
05,Antioquia,05002,Abejorral,Cereales,Cereales,Maíz,Maíz blanco tradicional,2023,2023A,Transitorio,"40,00","45,00","90,00","2,00",1010404,40.0,45.0,5.0,1.125
05,Antioquia,05002,Abejorral,Leguminosas,Leguminosas,Frijol,Frijol,2025,2025A,Transitorio,"70,00","85,00","89,16","1,05",1060200,70.0,85.0,15.0,1.2142857142857142
05,Antioquia,05004,Abriaquí,Leguminosas,Leguminosas,Arveja,Arveja,2024,2024B,Transitorio,"1,04","1,50","1,50","1,00",1060100,1.04,1.5,0.45999999999999996,1.4423076923076923
05,Antioquia,05004,Abriaquí,Hortalizas,Hortalizas de raíz,Cebolla de bulbo,Cebolla de bulbo,2024,2024B,Transitorio,"0,57","0,80","0,80","1,00",1051100,0.57,0.8,0.2300000000000001,1.4035087719298247
05,Antioquia,05004,Abriaquí,Leguminosas,Leguminosas,Arveja,Arveja,2025,2025A,Transitorio,"1,00","1,04","1,56","1,50",1060100,1.0,1.04,0.040000000000000036,1.04
05,Antioquia,05004,Abriaquí,Hortalizas,Hortalizas de tallo,Cebolla de rama,Cebolla de rama,2024,2024B,Transitorio,"1,28","2,00","4,00","2,00",1051200,1.28,2.0,0.72,1.5625
05,Antioquia,05004,Abriaquí,Hortalizas,Hortalizas de raíz,Cebolla de bulbo,Cebolla de bulbo,2025,2025A,Transitorio,"0,30","0,57","0,46","0,81",1051100,0.3,0.57,0.26999999999999996,1.9
05,Antioquia,05004,Abriaquí,Leguminosas,Leguminosas,Frijol,Frijol,2022,2022B,Transitorio,"65,00","106,00","127,20","1,20",1060200,65.0,106.0,41.0,1.6307692307692307
05,Antioquia,05004,Abriaquí,Leguminosas,Leguminosas,Frijol,Frijol,2024,2024B,Transitorio,"62,00","70,00","70,00","1,00",1060200,62.0,70.0,8.0,1.1290322580645162
