Código Dane departamento,Departamento,Código Dane municipio,Municipio,Grupo cultivo,Subgrupo,Cultivo,Desagregación cultivo,Año,Periodo,Ciclo del cultivo,Área sembrada,Área cosechada,Producción,Rendimiento,Código del cultivo,area_sembrada_num,area_cosechada_num,produccion_num,rendimiento_num
05,Antioquia,05004,Abriaquí,Raíces y tubérculos,Raíces y tubérculos,Yuca,Yuca consumo en fresco,2022,2022B,Transitorio,"0,00","3,00","12,00","4,00",1081001,0.0,3.0,12.0,4.0
05,Antioquia,05030,Amagá,Hortalizas,Hortalizas de tallo,Cebolla de rama,Cebolla de rama,2024,2024B,Transitorio,"0,00","2,00","22,60","11,30",1051200,0.0,2.0,22.6,11.3
05,Antioquia,05030,Amagá,Leguminosas,Leguminosas,Frijol,Frijol,2023,2023B,Transitorio,"0,00","6,80","8,16","1,20",1060200,0.0,6.8,8.16,1.2
05,Antioquia,05030,Amagá,Raíces y tubérculos,Raíces y tubérculos,Yuca,Yuca consumo en fresco,2022,2022B,Transitorio,"0,00","15,00","225,00","15,00",1081001,0.0,15.0,225.0,15.0
05,Antioquia,05030,Amagá,Raíces y tubérculos,Raíces y tubérculos,Yuca,Yuca consumo en fresco,2023,2023B,Transitorio,"0,00","13,50","202,50","15,00",1081001,0.0,13.5,202.5,15.0
05,Antioquia,05031,Amalfi,Cereales,Cereales,Maíz,Maíz amarillo tradicional,2022,2022B,Transitorio,"0,00","100,00","110,00","1,10",1010402,0.0,100.0,110.0,1.1
05,Antioquia,05031,Amalfi,Cereales,Cereales,Maíz,Maíz amarillo tradicional,2023,2023B,Transitorio,"0,00","140,00","154,00","1,10",1010402,0.0,140.0,154.0,1.1
05,Antioquia,05031,Amalfi,Cereales,Cereales,Maíz,Maíz amarillo tradicional,2024,2024B,Transitorio,"0,00","160,00","176,00","1,10",1010402,0.0,160.0,176.0,1.1
05,Antioquia,05031,Amalfi,Cereales,Cereales,Maíz,Maíz amarillo tradicional,2025,2025B,Transitorio,"0,00","158,00","173,80","1,10",1010402,0.0,158.0,173.8,1.1
05,Antioquia,05038,Angostura,Raíces y tubérculos,Raíces y tubérculos,Yuca,Yuca consumo en fresco,2024,2024B,Transitorio,"0,00","0,50","2,50","5,00",1081001,0.0,0.5,2.5,5.0
05,Antioquia,05040,Anorí,Cereales,Cereales,Maíz,Maíz blanco tradicional,2024,2024B,Transitorio,"0,00","12,00","9,00","0,75",1010404,0.0,12.0,9.0,0.75
05,Antioquia,05042,Santa Fé de Antioquia,Leguminosas,Leguminosas,Frijol,Frijol,2023,2023B,Transitorio,"0,00","12,00","16,80","1,40",1060200,0.0,12.0,16.8,1.4
05,Antioquia,05042,Santa Fé de Antioquia,Leguminosas,Leguminosas,Frijol,Frijol,2024,2024B,Transitorio,"0,00","12,00","16,80","1,40",1060200,0.0,12.0,16.8,1.4
05,Antioquia,05042,Santa Fé de Antioquia,Leguminosas,Leguminosas,Frijol,Frijol,2025,2025B,Transitorio,"0,00","11,50","16,10","1,40",1060200,0.0,11.5,16.1,1.4
05,Antioquia,05042,Santa Fé de Antioquia,Cereales,Cereales,Maíz,Maíz amarillo tradicional,2023,2023B,Transitorio,"0,00","12,00","14,40","1,20",1010402,0.0,12.0,14.4,1.2
05,Antioquia,05042,Santa Fé de Antioquia,Cereales,Cereales,Maíz,Maíz amarillo tradicional,2024,2024B,Transitorio,"0,00","12,00","14,40","1,20",1010402,0.0,12.0,14.4,1.2
05,Antioquia,05042,Santa Fé de Antioquia,Cereales,Cereales,Maíz,Maíz amarillo tradicional,2025,2025B,Transitorio,"0,00","14,00","16,80","1,20",1010402,0.0,14.0,16.8,1.2
