Código Dane municipio,Código del cultivo,Cultivo,Año_num,registros_semestres,area_sembrada_A_B,area_cosechada_A_B,produccion_A_B,registros_anuales,area_sembrada_anual,area_cosechada_anual,produccion_anual,rendimiento_anual,dif_area_sembrada,dif_area_cosechada,dif_produccion,ratio_area_sembrada,ratio_area_cosechada,ratio_produccion
05266,1022300,Plantas aromáticas,2019,2,2.9,2.9,3.92,1,2.0,2.0,2.6,1.3,-0.8999999999999999,-0.8999999999999999,-1.3199999999999998,0.6896551724137931,0.6896551724137931,0.663265306122449
15466,1022300,Plantas aromáticas,2019,2,2.0,2.0,3.5,1,0.3,0.3,0.15,0.5,-1.7,-1.7,-3.35,0.15,0.15,0.04285714285714286
15466,1022300,Plantas aromáticas,2020,2,0.4,0.4,0.4,1,0.3,0.3,0.3,1.0,-0.10000000000000003,-0.10000000000000003,-0.10000000000000003,0.7499999999999999,0.7499999999999999,0.7499999999999999
15759,1022300,Plantas aromáticas,2019,2,3.0,2.5,2.5,1,1.0,1.0,1.0,1.0,-2.0,-1.5,-1.5,0.3333333333333333,0.4,0.4
15759,1022300,Plantas aromáticas,2020,2,3.0,2.5,2.5,1,1.0,1.0,1.0,1.0,-2.0,-1.5,-1.5,0.3333333333333333,0.4,0.4
17777,1022300,Plantas aromáticas,2025,2,8.0,7.6,28.88,1,5.0,4.0,16.0,4.0,-3.0,-3.5999999999999996,-12.879999999999999,0.625,0.5263157894736842,0.554016620498615
25178,1022300,Plantas aromáticas,2019,2,50.0,50.0,263.3,1,45.0,45.0,450.0,10.0,-5.0,-5.0,186.7,0.9,0.9,1.7090770983668817
25178,1022300,Plantas aromáticas,2020,2,48.0,44.0,220.0,1,49.0,44.0,440.0,10.0,1.0,0.0,220.0,1.0208333333333333,1.0,2.0
25178,1022300,Plantas aromáticas,2024,2,28.0,28.0,168.0,1,87.0,72.0,576.0,8.0,59.0,44.0,408.0,3.107142857142857,2.5714285714285716,3.4285714285714284
25178,1022300,Plantas aromáticas,2025,2,40.0,40.0,240.0,1,95.0,85.0,680.0,8.0,55.0,45.0,440.0,2.375,2.125,2.8333333333333335
25377,1022300,Plantas aromáticas,2019,1,6.0,6.0,40.0,1,5.2,5.2,40.0,7.69,-0.7999999999999998,-0.7999999999999998,0.0,0.8666666666666667,0.8666666666666667,1.0
25785,1022300,Plantas aromáticas,2020,2,12.0,12.0,240.0,1,2.0,0.0,0.0,0.0,-10.0,-12.0,-240.0,0.16666666666666666,0.0,0.0
68276,1022300,Plantas aromáticas,2024,2,2.5,2.5,10.0,1,11.0,11.0,38.5,3.5,8.5,8.5,28.5,4.4,4.4,3.85
68276,1022300,Plantas aromáticas,2025,2,4.0,4.0,16.0,1,9.0,9.0,31.5,3.5,5.0,5.0,15.5,2.25,2.25,1.96875
73124,1022300,Plantas aromáticas,2020,2,4.0,4.0,32.0,1,2.0,2.0,16.0,8.0,-2.0,-2.0,-16.0,0.5,0.5,0.5
73200,1022300,Plantas aromáticas,2022,2,10.0,10.0,80.0,1,5.0,0.0,0.0,0.0,-5.0,-10.0,-80.0,0.5,0.0,0.0
73200,1022300,Plantas aromáticas,2024,2,10.0,10.0,85.0,1,5.0,5.0,2.5,0.5,-5.0,-5.0,-82.5,0.5,0.5,0.029411764705882353
73200,1022300,Plantas aromáticas,2025,2,10.0,10.0,85.0,1,5.0,5.0,5.0,1.0,-5.0,-5.0,-80.0,0.5,0.5,0.058823529411764705
76318,1022300,Plantas aromáticas,2020,2,18.0,17.0,85.0,1,18.0,0.0,0.0,0.0,0.0,-17.0,-85.0,1.0,0.0,0.0
76377,1022300,Plantas aromáticas,2025,2,36.0,36.0,36.0,1,18.5,14.5,29.0,2.0,-17.5,-21.5,-7.0,0.5138888888888888,0.4027777777777778,0.8055555555555556
