Código Dane departamento,Departamento,Código Dane municipio,Municipio,Código del cultivo,Cultivo,Desagregación cultivo,Año,Periodo,Ciclo del cultivo,Área sembrada,Área cosechada,Producción,Rendimiento,area_cosechada_sobre_sembrada,diferencia_hectareas
5,Antioquia,5001,Medellín,1060200,Frijol,Frijol,2022,2022A,Transitorio,"13,55","30,00","57,90","1,93",2.214022140221402,16.45
5,Antioquia,5001,Medellín,1060200,Frijol,Frijol,2023,2023A,Transitorio,"10,00","16,00","20,80","1,30",1.6,6.0
5,Antioquia,5001,Medellín,1060200,Frijol,Frijol,2024,2024A,Transitorio,"9,50","14,00","18,20","1,30",1.4736842105263157,4.5
5,Antioquia,5001,Medellín,1060500,Haba,Haba,2022,2022A,Transitorio,"0,15","30,00","8,89","0,30",200.0,29.85
5,Antioquia,5001,Medellín,1059900,Otras hortalizas,Otras hortalizas,2024,2024A,Transitorio,"34,00","36,00","252,00","7,00",1.0588235294117647,2.0
5,Antioquia,5001,Medellín,1080701,Papa,Papa todas las variedades,2023,2023B,Transitorio,"42,00","80,00","1.280,00","16,00",1.9047619047619047,38.0
5,Antioquia,5001,Medellín,1080701,Papa,Papa todas las variedades,2024,2024A,Transitorio,"38,00","42,00","672,00","16,00",1.105263157894737,4.0
5,Antioquia,5001,Medellín,1080701,Papa,Papa todas las variedades,2025,2025A,Transitorio,"32,00","45,00","720,00","16,00",1.40625,13.0
5,Antioquia,5001,Medellín,1080701,Papa,Papa todas las variedades,2025,2025B,Transitorio,"38,00","63,00","1.008,00","16,00",1.6578947368421053,25.0
5,Antioquia,5001,Medellín,1052800,Repollo,Repollo,2023,2023B,Transitorio,"2,50","3,50","105,00","30,00",1.4,1.0
5,Antioquia,5001,Medellín,1081001,Yuca,Yuca consumo en fresco,2023,2023A,Transitorio,"1,50","3,00","45,00","15,00",2.0,1.5
5,Antioquia,5001,Medellín,1081001,Yuca,Yuca consumo en fresco,2024,2024A,Transitorio,"1,50","2,20","33,00","15,00",1.4666666666666668,0.7000000000000002
5,Antioquia,5002,Abejorral,1060200,Frijol,Frijol,2022,2022B,Transitorio,"80,00","135,00","202,50","1,50",1.6875,55.0
5,Antioquia,5002,Abejorral,1060200,Frijol,Frijol,2024,2024A,Transitorio,"80,00","85,00","127,50","1,50",1.0625,5.0
5,Antioquia,5002,Abejorral,1010404,Maíz,Maíz blanco tradicional,2022,2022A,Transitorio,"40,00","50,00","100,00","2,00",1.25,10.0
5,Antioquia,5002,Abejorral,1010404,Maíz,Maíz blanco tradicional,2023,2023A,Transitorio,"40,00","45,00","90,00","2,00",1.125,5.0
5,Antioquia,5002,Abejorral,1060200,Frijol,Frijol,2025,2025A,Transitorio,"70,00","85,00","89,16","1,05",1.2142857142857142,15.0
5,Antioquia,5004,Abriaquí,1060100,Arveja,Arveja,2024,2024B,Transitorio,"1,04","1,50","1,50","1,00",1.4423076923076923,0.45999999999999996
5,Antioquia,5004,Abriaquí,1051100,Cebolla de bulbo,Cebolla de bulbo,2024,2024B,Transitorio,"0,57","0,80","0,80","1,00",1.4035087719298247,0.2300000000000001
5,Antioquia,5004,Abriaquí,1060100,Arveja,Arveja,2025,2025A,Transitorio,"1,00","1,04","1,56","1,50",1.04,0.040000000000000036
5,Antioquia,5004,Abriaquí,1051200,Cebolla de rama,Cebolla de rama,2024,2024B,Transitorio,"1,28","2,00","4,00","2,00",1.5625,0.72
5,Antioquia,5004,Abriaquí,1051100,Cebolla de bulbo,Cebolla de bulbo,2025,2025A,Transitorio,"0,30","0,57","0,46","0,81",1.9,0.26999999999999996
5,Antioquia,5004,Abriaquí,1060200,Frijol,Frijol,2022,2022B,Transitorio,"65,00","106,00","127,20","1,20",1.6307692307692307,41.0
5,Antioquia,5004,Abriaquí,1060200,Frijol,Frijol,2024,2024B,Transitorio,"62,00","70,00","70,00","1,00",1.1290322580645162,8.0
5,Antioquia,5004,Abriaquí,1051200,Cebolla de rama,Cebolla de rama,2025,2025A,Transitorio,"1,00","1,28","2,56","2,00",1.28,0.28
5,Antioquia,5004,Abriaquí,1060200,Frijol,Frijol,2025,2025A,Transitorio,"45,00","62,00","65,03","1,05",1.3777777777777778,17.0
5,Antioquia,5004,Abriaquí,1010402,Maíz,Maíz amarillo tradicional,2022,2022B,Transitorio,"19,00","20,00","24,00","1,20",1.0526315789473684,1.0
5,Antioquia,5004,Abriaquí,1010402,Maíz,Maíz amarillo tradicional,2024,2024B,Transitorio,"20,00","21,00","21,00","1,00",1.05,1.0
5,Antioquia,5004,Abriaquí,1080701,Papa,Papa todas las variedades,2022,2022B,Transitorio,"1,00","2,00","8,20","4,10",2.0,1.0
5,Antioquia,5004,Abriaquí,1010402,Maíz,Maíz amarillo tradicional,2025,2025B,Transitorio,"15,00","25,00","37,50","1,50",1.6666666666666667,10.0
5,Antioquia,5004,Abriaquí,1081001,Yuca,Yuca consumo en fresco,2022,2022B,Transitorio,"0,00","3,00","12,00","4,00",inf,3.0
5,Antioquia,5004,Abriaquí,1053000,Zanahoria,Zanahoria,2025,2025A,Transitorio,"0,30","0,60","0,48","0,80",2.0,0.3
5,Antioquia,5021,Alejandría,1010402,Maíz,Maíz amarillo tradicional,2022,2022A,Transitorio,"5,00","7,00","8,40","1,20",1.4,2.0
5,Antioquia,5021,Alejandría,1010402,Maíz,Maíz amarillo tradicional,2023,2023A,Transitorio,"5,00","15,00","18,04","1,20",3.0,10.0
5,Antioquia,5021,Alejandría,1052901,Tomate,Tomate,2024,2024B,Transitorio,"1,00","1,50","24,00","16,00",1.5,0.5
5,Antioquia,5021,Alejandría,1060200,Frijol,Frijol,2025,2025A,Transitorio,"16,50","40,00","60,00","1,50",2.4242424242424243,23.5
5,Antioquia,5021,Alejandría,1081001,Yuca,Yuca consumo en fresco,2022,2022A,Transitorio,"3,00","7,00","70,00","10,00",2.3333333333333335,4.0
5,Antioquia,5021,Alejandría,1010402,Maíz,Maíz amarillo tradicional,2025,2025A,Transitorio,"3,50","8,15","9,80","1,20",2.3285714285714287,4.65
5,Antioquia,5021,Alejandría,1010402,Maíz,Maíz amarillo tradicional,2025,2025B,Transitorio,"3,00","3,85","4,63","1,20",1.2833333333333334,0.8500000000000001
5,Antioquia,5021,Alejandría,1052901,Tomate,Tomate,2025,2025B,Transitorio,"8,00","12,00","192,00","16,00",1.5,4.0
5,Antioquia,5021,Alejandría,1081001,Yuca,Yuca consumo en fresco,2025,2025A,Transitorio,"2,50","4,00","40,00","10,00",1.6,1.5
5,Antioquia,5030,Amagá,1051200,Cebolla de rama,Cebolla de rama,2024,2024B,Transitorio,"0,00","2,00","22,60","11,30",inf,2.0
5,Antioquia,5030,Amagá,1060200,Frijol,Frijol,2023,2023B,Transitorio,"0,00","6,80","8,16","1,20",inf,6.8
5,Antioquia,5030,Amagá,1060200,Frijol,Frijol,2024,2024B,Transitorio,"1,00","6,50","7,80","1,20",6.5,5.5
5,Antioquia,5030,Amagá,1010402,Maíz,Maíz amarillo tradicional,2022,2022B,Transitorio,"11,20","16,50","13,84","0,84",1.4732142857142858,5.300000000000001
5,Antioquia,5030,Amagá,1010402,Maíz,Maíz amarillo tradicional,2023,2023B,Transitorio,"14,70","25,10","21,06","0,84",1.707482993197279,10.400000000000002
5,Antioquia,5030,Amagá,1010402,Maíz,Maíz amarillo tradicional,2024,2024B,Transitorio,"22,00","32,00","26,85","0,84",1.4545454545454546,10.0
5,Antioquia,5030,Amagá,1051200,Cebolla de rama,Cebolla de rama,2025,2025B,Transitorio,"1,00","1,50","15,45","10,30",1.5,0.5
5,Antioquia,5030,Amagá,1060200,Frijol,Frijol,2025,2025B,Transitorio,"3,00","6,10","7,32","1,20",2.033333333333333,3.0999999999999996
5,Antioquia,5030,Amagá,1052901,Tomate,Tomate,2023,2023B,Transitorio,"4,90","7,31","190,06","26,00",1.4918367346938775,2.4099999999999993
5,Antioquia,5030,Amagá,1052901,Tomate,Tomate,2024,2024B,Transitorio,"5,20","7,00","35,70","5,10",1.346153846153846,1.7999999999999998
5,Antioquia,5030,Amagá,1010402,Maíz,Maíz amarillo tradicional,2025,2025B,Transitorio,"15,00","30,00","25,17","0,84",2.0,15.0
5,Antioquia,5030,Amagá,1052902,Tomate,Tomate invernadero,2023,2023A,Transitorio,"0,20","0,40","25,20","63,00",2.0,0.2
5,Antioquia,5030,Amagá,1081001,Yuca,Yuca consumo en fresco,2022,2022B,Transitorio,"0,00","15,00","225,00","15,00",inf,15.0
5,Antioquia,5030,Amagá,1081001,Yuca,Yuca consumo en fresco,2023,2023B,Transitorio,"0,00","13,50","202,50","15,00",inf,13.5
5,Antioquia,5030,Amagá,1081001,Yuca,Yuca consumo en fresco,2024,2024B,Transitorio,"4,00","18,30","274,50","15,00",4.575,14.3
5,Antioquia,5030,Amagá,1081001,Yuca,Yuca consumo en fresco,2025,2025B,Transitorio,"6,00","21,00","315,00","15,00",3.5,15.0
5,Antioquia,5031,Amalfi,1060200,Frijol,Frijol,2024,2024B,Transitorio,"75,00","125,00","112,50","0,90",1.6666666666666667,50.0
5,Antioquia,5031,Amalfi,1010402,Maíz,Maíz amarillo tradicional,2022,2022B,Transitorio,"0,00","100,00","110,00","1,10",inf,100.0
5,Antioquia,5031,Amalfi,1010402,Maíz,Maíz amarillo tradicional,2023,2023B,Transitorio,"0,00","140,00","154,00","1,10",inf,140.0
5,Antioquia,5031,Amalfi,1010402,Maíz,Maíz amarillo tradicional,2024,2024B,Transitorio,"0,00","160,00","176,00","1,10",inf,160.0
5,Antioquia,5031,Amalfi,1081001,Yuca,Yuca consumo en fresco,2022,2022B,Transitorio,"20,00","95,00","1.140,00","12,00",4.75,75.0
5,Antioquia,5031,Amalfi,1081001,Yuca,Yuca consumo en fresco,2023,2023B,Transitorio,"25,00","98,00","1.176,00","12,00",3.92,73.0
5,Antioquia,5031,Amalfi,1081001,Yuca,Yuca consumo en fresco,2024,2024B,Transitorio,"30,00","75,00","900,00","12,00",2.5,45.0
5,Antioquia,5031,Amalfi,1060200,Frijol,Frijol,2025,2025B,Transitorio,"50,00","193,00","121,47","0,63",3.86,143.0
5,Antioquia,5031,Amalfi,1010402,Maíz,Maíz amarillo tradicional,2025,2025B,Transitorio,"0,00","158,00","173,80","1,10",inf,158.0
5,Antioquia,5031,Amalfi,1081001,Yuca,Yuca consumo en fresco,2025,2025B,Transitorio,"30,00","70,00","840,00","12,00",2.3333333333333335,40.0
5,Antioquia,5034,Andes,1051200,Cebolla de rama,Cebolla de rama,2025,2025A,Transitorio,"5,00","5,70","39,90","7,00",1.1400000000000001,0.7000000000000002
5,Antioquia,5034,Andes,1060200,Frijol,Frijol,2023,2023B,Transitorio,"50,00","58,50","87,75","1,50",1.17,8.5
5,Antioquia,5034,Andes,1060200,Frijol,Frijol,2024,2024A,Transitorio,"30,00","68,00","79,56","1,17",2.2666666666666666,38.0
5,Antioquia,5034,Andes,1060200,Frijol,Frijol,2024,2024B,Transitorio,"22,00","29,60","44,40","1,50",1.3454545454545455,7.600000000000001
5,Antioquia,5034,Andes,1060200,Frijol,Frijol,2025,2025B,Transitorio,"20,00","23,00","19,30","0,84",1.15,3.0
5,Antioquia,5034,Andes,1010402,Maíz,Maíz amarillo tradicional,2023,2023B,Transitorio,"40,00","80,00","76,80","0,96",2.0,40.0
5,Antioquia,5034,Andes,1010402,Maíz,Maíz amarillo tradicional,2024,2024B,Transitorio,"40,00","104,00","99,84","0,96",2.6,64.0
5,Antioquia,5034,Andes,1010402,Maíz,Maíz amarillo tradicional,2025,2025B,Transitorio,"40,00","104,00","99,84","0,96",2.6,64.0
5,Antioquia,5034,Andes,1010404,Maíz,Maíz blanco tradicional,2022,2022B,Transitorio,"25,00","32,00","28,16","0,88",1.28,7.0
5,Antioquia,5034,Andes,1010404,Maíz,Maíz blanco tradicional,2023,2023B,Transitorio,"30,00","48,00","45,60","0,95",1.6,18.0
5,Antioquia,5034,Andes,1010404,Maíz,Maíz blanco tradicional,2024,2024B,Transitorio,"20,00","42,00","39,90","0,95",2.1,22.0
