Año,tipo_periodo,registros,area_sembrada_promedio,area_cosechada_promedio,produccion_promedio,rendimiento_promedio
2019,Anual,8007,402.16185212938683,347.56690770575744,6956.865903584364,12.291752216810291
2019,Semestral,12429,164.45455788880844,159.0404489500362,1254.1950518947624,10.410308954863625
2020,Anual,8572,384.81542347176855,342.6275699953336,6626.773649090061,12.098747083527766
2020,Semestral,12939,166.44075817296547,159.0074619367803,1244.4347623463946,10.272402040343147
2021,Anual,9527,350.287836674714,316.3632108743571,6186.949657814632,12.030003148945102
2021,Semestral,14371,145.2580551109874,137.37539280495443,1061.8737144248835,9.338655625913297
2022,Anual,9627,350.60290537031267,318.53441986080816,6288.811197673211,12.143656383089228
2022,Semestral,15181,130.83718397997498,124.96767406626705,989.8749305052369,9.289204268493512
2023,Anual,9669,352.19564587858105,317.3557100010342,6403.797766056469,12.058482780018617
2023,Semestral,15240,135.92646719160106,128.0728215223097,1001.9556410761155,9.450343832020996
2024,Anual,9955,344.5180271220492,307.4829663485686,6407.603094927173,11.810578603716724
2024,Semestral,15598,133.54177138094627,124.1182728554943,994.9361706629055,9.434580074368508
2025,Anual,9929,347.4889183200725,310.2219730083594,6499.74627555645,11.936605901903516
2025,Semestral,15688,137.09269441611423,130.16915413054565,1071.6539832993371,9.721895716471188
