Código Dane municipio,Municipio,Código del cultivo,Cultivo,Año,Periodo,Ciclo del cultivo,Área sembrada,Área cosechada,Producción,Rendimiento
5001,Medellín,1060200,Frijol,2022,2022A,Transitorio,"13,55","30,00","57,90","1,93"
5001,Medellín,1060200,Frijol,2023,2023A,Transitorio,"10,00","16,00","20,80","1,30"
5001,Medellín,1060200,Frijol,2024,2024A,Transitorio,"9,50","14,00","18,20","1,30"
5001,Medellín,1060500,Haba,2022,2022A,Transitorio,"0,15","30,00","8,89","0,30"
5001,Medellín,1059900,Otras hortalizas,2024,2024A,Transitorio,"34,00","36,00","252,00","7,00"
5001,Medellín,1080701,Papa,2023,2023B,Transitorio,"42,00","80,00","1.280,00","16,00"
5001,Medellín,1080701,Papa,2024,2024A,Transitorio,"38,00","42,00","672,00","16,00"
5001,Medellín,1080701,Papa,2025,2025A,Transitorio,"32,00","45,00","720,00","16,00"
5001,Medellín,1080701,Papa,2025,2025B,Transitorio,"38,00","63,00","1.008,00","16,00"
5001,Medellín,1052800,Repollo,2023,2023B,Transitorio,"2,50","3,50","105,00","30,00"
5001,Medellín,1081001,Yuca,2023,2023A,Transitorio,"1,50","3,00","45,00","15,00"
5001,Medellín,1081001,Yuca,2024,2024A,Transitorio,"1,50","2,20","33,00","15,00"
5002,Abejorral,1060200,Frijol,2022,2022B,Transitorio,"80,00","135,00","202,50","1,50"
5002,Abejorral,1060200,Frijol,2024,2024A,Transitorio,"80,00","85,00","127,50","1,50"
5002,Abejorral,1010404,Maíz,2022,2022A,Transitorio,"40,00","50,00","100,00","2,00"
5002,Abejorral,1010404,Maíz,2023,2023A,Transitorio,"40,00","45,00","90,00","2,00"
5002,Abejorral,1060200,Frijol,2025,2025A,Transitorio,"70,00","85,00","89,16","1,05"
5004,Abriaquí,1060100,Arveja,2024,2024B,Transitorio,"1,04","1,50","1,50","1,00"
5004,Abriaquí,1051100,Cebolla de bulbo,2024,2024B,Transitorio,"0,57","0,80","0,80","1,00"
5004,Abriaquí,1060100,Arveja,2025,2025A,Transitorio,"1,00","1,04","1,56","1,50"
5004,Abriaquí,1051200,Cebolla de rama,2024,2024B,Transitorio,"1,28","2,00","4,00","2,00"
5004,Abriaquí,1051100,Cebolla de bulbo,2025,2025A,Transitorio,"0,30","0,57","0,46","0,81"
5004,Abriaquí,1060200,Frijol,2022,2022B,Transitorio,"65,00","106,00","127,20","1,20"
5004,Abriaquí,1060200,Frijol,2024,2024B,Transitorio,"62,00","70,00","70,00","1,00"
5004,Abriaquí,1051200,Cebolla de rama,2025,2025A,Transitorio,"1,00","1,28","2,56","2,00"
5004,Abriaquí,1060200,Frijol,2025,2025A,Transitorio,"45,00","62,00","65,03","1,05"
5004,Abriaquí,1010402,Maíz,2022,2022B,Transitorio,"19,00","20,00","24,00","1,20"
5004,Abriaquí,1010402,Maíz,2024,2024B,Transitorio,"20,00","21,00","21,00","1,00"
5004,Abriaquí,1080701,Papa,2022,2022B,Transitorio,"1,00","2,00","8,20","4,10"
5004,Abriaquí,1010402,Maíz,2025,2025B,Transitorio,"15,00","25,00","37,50","1,50"
5004,Abriaquí,1081001,Yuca,2022,2022B,Transitorio,"0,00","3,00","12,00","4,00"
5004,Abriaquí,1053000,Zanahoria,2025,2025A,Transitorio,"0,30","0,60","0,48","0,80"
5021,Alejandría,1010402,Maíz,2022,2022A,Transitorio,"5,00","7,00","8,40","1,20"
5021,Alejandría,1010402,Maíz,2023,2023A,Transitorio,"5,00","15,00","18,04","1,20"
5021,Alejandría,1052901,Tomate,2024,2024B,Transitorio,"1,00","1,50","24,00","16,00"
5021,Alejandría,1060200,Frijol,2025,2025A,Transitorio,"16,50","40,00","60,00","1,50"
5021,Alejandría,1081001,Yuca,2022,2022A,Transitorio,"3,00","7,00","70,00","10,00"
5021,Alejandría,1010402,Maíz,2025,2025A,Transitorio,"3,50","8,15","9,80","1,20"
5021,Alejandría,1010402,Maíz,2025,2025B,Transitorio,"3,00","3,85","4,63","1,20"
5021,Alejandría,1052901,Tomate,2025,2025B,Transitorio,"8,00","12,00","192,00","16,00"
5021,Alejandría,1081001,Yuca,2025,2025A,Transitorio,"2,50","4,00","40,00","10,00"
5030,Amagá,1051200,Cebolla de rama,2024,2024B,Transitorio,"0,00","2,00","22,60","11,30"
5030,Amagá,1060200,Frijol,2023,2023B,Transitorio,"0,00","6,80","8,16","1,20"
5030,Amagá,1060200,Frijol,2024,2024B,Transitorio,"1,00","6,50","7,80","1,20"
5030,Amagá,1010402,Maíz,2022,2022B,Transitorio,"11,20","16,50","13,84","0,84"
5030,Amagá,1010402,Maíz,2023,2023B,Transitorio,"14,70","25,10","21,06","0,84"
