Código Dane municipio,Municipio,Código del cultivo,Cultivo,Año,Periodo,Área cosechada,Producción,Rendimiento,rendimiento_calculado,diferencia_absoluta
5001,Medellín,1050600,Apio,2021,2021A,"8,00","128,00","16,00",16.0,0.0
5001,Medellín,1050600,Apio,2021,2021B,"8,00","152,00","19,00",19.0,0.0
5001,Medellín,1050600,Apio,2022,2022A,"8,00","127,44","15,93",15.93,0.0
5001,Medellín,1050600,Apio,2022,2022B,"8,00","152,00","19,00",19.0,0.0
5001,Medellín,1050600,Apio,2023,2023A,"7,00","133,00","19,00",19.0,0.0
5001,Medellín,1050600,Apio,2023,2023B,"8,00","152,00","19,00",19.0,0.0
5001,Medellín,1050600,Apio,2024,2024A,"5,70","108,30","19,00",19.0,0.0
5001,Medellín,1050600,Apio,2024,2024B,"6,60","125,40","19,00",19.000000000000004,3.552713678800501e-15
5001,Medellín,1050600,Apio,2025,2025A,"5,50","104,50","19,00",19.0,0.0
5001,Medellín,1050600,Apio,2025,2025B,"7,00","133,00","19,00",19.0,0.0
5001,Medellín,1060100,Arveja,2022,2022A,"0,16","0,30","1,88",1.875,0.004999999999999893
5001,Medellín,1060100,Arveja,2023,2023A,"0,20","0,38","1,90",1.9,0.0
5001,Medellín,1060100,Arveja,2024,2024A,"0,30","0,27","0,90",0.9000000000000001,1.1102230246251565e-16
5001,Medellín,1060100,Arveja,2025,2025A,"0,50","0,44","0,88",0.88,0.0
5001,Medellín,2041100,Brevo,2019,2019,"15,00","105,00","7,00",7.0,0.0
5001,Medellín,2041100,Brevo,2020,2020,"12,00","84,00","7,00",7.0,0.0
5001,Medellín,2041100,Brevo,2021,2021,"12,00","84,00","7,00",7.0,0.0
5001,Medellín,2041100,Brevo,2022,2022,"12,00","84,00","7,00",7.0,0.0
5001,Medellín,2041100,Brevo,2023,2023,"8,00","56,00","7,00",7.0,0.0
5001,Medellín,2041100,Brevo,2024,2024,"7,00","49,00","7,00",7.0,0.0
5001,Medellín,2041100,Brevo,2025,2025,"7,00","56,00","8,00",8.0,0.0
5001,Medellín,1050900,Brócoli,2022,2022A,"7,00","77,00","11,00",11.0,0.0
5001,Medellín,1050900,Brócoli,2022,2022B,"6,00","96,00","16,00",16.0,0.0
5001,Medellín,1050900,Brócoli,2023,2023A,"6,50","104,00","16,00",16.0,0.0
