metrica,valor_original,cantidad
Producción,"1.200,00",396
Producción,"1.000,00",277
Producción,"1.500,00",260
Producción,"1.800,00",250
Producción,"2.400,00",216
Producción,"2.000,00",209
Producción,"3.000,00",206
Producción,"3.600,00",175
Producción,"1.050,00",171
Producción,"1.600,00",160
Producción,"1.400,00",155
Producción,"1.440,00",150
Producción,"1.080,00",136
Producción,"1.260,00",130
Producción,"6.000,00",126
Producción,"1.680,00",123
Producción,"2.100,00",118
Producción,"1.350,00",116
Producción,"1.120,00",113
Producción,"2.250,00",109
Producción,"2.800,00",104
Producción,"4.000,00",102
Producción,"1.100,00",100
Producción,"4.500,00",98
Producción,"2.700,00",96
Producción,"3.500,00",92
Producción,"1.250,00",91
Producción,"4.800,00",88
Producción,"1.300,00",87
Producción,"2.160,00",87
Producción,"1.020,00",84
Producción,"1.320,00",81
Producción,"2.200,00",77
Producción,"1.170,00",75
Producción,"1.620,00",75
Producción,"4.200,00",75
Producción,"5.000,00",75
Producción,"1.920,00",72
Producción,"9.000,00",72
Producción,"2.500,00",71
Producción,"1.750,00",69
Producción,"2.520,00",68
Producción,"5.400,00",68
Producción,"7.200,00",67
Producción,"1.650,00",66
Producción,"2.880,00",66
Producción,"1.125,00",63
Producción,"1.140,00",63
Producción,"3.200,00",63
Producción,"1.700,00",62
Producción,"3.360,00",62
Producción,"1.040,00",61
Producción,"1.560,00",61
Producción,"3.150,00",60
Producción,"1.900,00",59
Producción,"1.950,00",59
Producción,"8.000,00",56
Producción,"2.640,00",54
Producción,"5.600,00",54
Producción,"1.380,00",52
Producción,"12.000,00",51
Producción,"1.760,00",50
Producción,"2.340,00",50
Producción,"3.300,00",50
Producción,"1.980,00",49
Producción,"1.280,00",48
Producción,"1.890,00",47
Producción,"2.600,00",46
Producción,"10.000,00",45
Producción,"1.575,00",44
Producción,"1.360,00",43
Producción,"4.400,00",43
Producción,"9.600,00",43
Producción,"1.470,00",42
Producción,"1.740,00",42
Producción,"1.960,00",42
Producción,"6.300,00",42
Producción,"6.400,00",42
Producción,"1.150,00",41
Producción,"1.190,00",41
Producción,"1.275,00",40
Producción,"1.710,00",40
Producción,"2.040,00",40
Producción,"3.960,00",39
Producción,"18.000,00",38
Producción,"2.240,00",38
Producción,"3.800,00",38
Producción,"1.840,00",37
Producción,"1.330,00",36
Producción,"2.550,00",36
Producción,"7.000,00",36
Producción,"7.500,00",36
Producción,"1.520,00",35
Producción,"3.400,00",35
Producción,"8.400,00",35
Producción,"1.240,00",34
Producción,"1.530,00",34
Producción,"1.860,00",34
Producción,"2.760,00",34
Producción,"3.750,00",34
Producción,"2.280,00",33
Producción,"2.300,00",33
Producción,"5.500,00",33
Producción,"1.008,00",32
Producción,"2.080,00",32
Producción,"2.450,00",32
Producción,"3.120,00",32
Producción,"3.570,00",32
Producción,"7.800,00",32
Producción,"14.000,00",31
Producción,"2.310,00",31
Producción,"3.240,00",31
Producción,"5.850,00",31
Producción,"1.110,00",30
Producción,"1.540,00",30
Producción,"1.550,00",30
Producción,"15.000,00",30
Producción,"2.750,00",30
Producción,"3.780,00",30
Producción,"4.050,00",30
Producción,"1.375,00",29
Producción,"10.800,00",29
Producción,"2.560,00",29
Producción,"3.900,00",29
Producción,"6.600,00",29
Producción,"1.176,00",28
Producción,"4.950,00",28
Producción,"2.380,00",27
Producción,"3.060,00",27
Producción,"4.320,00",27
Producción,"5.200,00",27
Producción,"5.700,00",27
Producción,"1.225,00",26
Producción,"1.430,00",26
Producción,"1.820,00",26
Producción,"14.400,00",26
Producción,"3.840,00",26
Producción,"4.080,00",26
Producción,"5.250,00",26
Producción,"1.160,00",25
Producción,"1.180,00",25
Producción,"1.230,00",25
Producción,"1.480,00",25
Producción,"11.200,00",25
Producción,"2.480,00",25
Producción,"2.900,00",25
Producción,"2.940,00",25
Producción,"3.080,00",25
Producción,"4.900,00",25
Producción,"1.875,00",24
Producción,"6.500,00",24
Producción,"1.105,00",23
Producción,"1.210,00",23
Producción,"2.070,00",23
Producción,"2.850,00",23
Producción,"3.250,00",23
Producción,"30.000,00",23
Producción,"4.600,00",23
Producción,"4.620,00",23
Producción,"5.040,00",23
Producción,"9.900,00",23
Producción,"1.152,00",22
Producción,"2.360,00",22
Producción,"3.640,00",22
Producción,"5.100,00",22
Producción,"5.520,00",22
Producción,"1.056,00",21
Producción,"1.060,00",21
Producción,"1.071,00",21
Producción,"1.092,00",21
Producción,"1.450,00",21
Producción,"1.584,00",21
Producción,"10.500,00",21
Producción,"12.600,00",21
Producción,"13.000,00",21
Producción,"2.660,00",21
Producción,"4.250,00",21
Producción,"6.800,00",21
Producción,"8.100,00",21
Producción,"1.044,00",20
Producción,"1.215,00",20
Producción,"1.344,00",20
Producción,"1.365,00",20
Producción,"1.404,00",20
Producción,"1.428,00",20
Producción,"1.690,00",20
Producción,"1.720,00",20
Producción,"1.728,00",20
Producción,"10.200,00",20
Producción,"2.025,00",20
Producción,"2.430,00",20
Producción,"2.625,00",20
Producción,"2.730,00",20
Producción,"6.900,00",20
Producción,"7.020,00",20
Producción,"7.700,00",20
Producción,"1.104,00",19
Producción,"1.144,00",19
Producción,"1.188,00",19
Producción,"1.224,00",19
Producción,"1.248,00",19
Producción,"1.425,00",19
Producción,"1.485,00",19
Producción,"1.625,00",19
Producción,"16.800,00",19
Producción,"3.920,00",19
Producción,"42.000,00",19
Producción,"6.750,00",19
Producción,"1.064,00",18
Producción,"1.155,00",18
Producción,"1.254,00",18
Producción,"1.296,00",18
Producción,"1.512,00",18
Producción,"11.000,00",18
Producción,"13.200,00",18
Producción,"2.970,00",18
Producción,"20.000,00",18
Producción,"3.420,00",18
Producción,"3.520,00",18
Producción,"3.850,00",18
Producción,"4.750,00",18
Producción,"1.590,00",17
Producción,"1.656,00",17
Producción,"1.725,00",17
Producción,"13.500,00",17
Producción,"16.000,00",17
Producción,"2.220,00",17
Producción,"3.040,00",17
Producción,"3.450,00",17
Producción,"5.760,00",17
Producción,"6.160,00",17
Producción,"8.800,00",17
Producción,"1.015,00",16
Producción,"1.035,00",16
Producción,"1.290,00",16
Producción,"1.848,00",16
Producción,"2.050,00",16
Producción,"2.184,00",16
Producción,"2.275,00",16
Producción,"2.376,00",16
Producción,"2.790,00",16
Producción,"24.000,00",16
Producción,"4.560,00",16
Producción,"4.830,00",16
Producción,"5.670,00",16
Producción,"1.054,00",15
Producción,"1.075,00",15
Producción,"1.116,00",15
Producción,"1.164,00",15
Producción,"1.368,00",15
Producción,"1.395,00",15
Producción,"1.640,00",15
Producción,"1.880,00",15
Producción,"1.944,00",15
Producción,"2.120,00",15
Producción,"2.860,00",15
Producción,"21.000,00",15
Producción,"3.375,00",15
Producción,"3.480,00",15
Producción,"4.860,00",15
Producción,"7.600,00",15
Producción,"1.632,00",14
Producción,"1.785,00",14
Producción,"1.850,00",14
Producción,"2.090,00",14
Producción,"2.142,00",14
Producción,"3.100,00",14
Producción,"3.680,00",14
Producción,"3.870,00",14
Producción,"4.440,00",14
Producción,"4.590,00",14
Producción,"5.280,00",14
Producción,"5.460,00",14
Producción,"6.840,00",14
Producción,"8.500,00",14
Producción,"1.065,00",13
Producción,"1.098,00",13
Producción,"1.122,00",13
Producción,"1.264,00",13
Producción,"1.288,00",13
Producción,"1.392,00",13
Producción,"1.420,00",13
Producción,"1.464,00",13
Producción,"1.488,00",13
Producción,"1.764,00",13
Producción,"1.824,00",13
Producción,"1.896,00",13
Producción,"10.400,00",13
Producción,"12.500,00",13
Producción,"13.750,00",13
Producción,"2.580,00",13
Producción,"2.610,00",13
Producción,"3.220,00",13
Producción,"3.440,00",13
Producción,"4.060,00",13
Producción,"4.180,00",13
Producción,"4.550,00",13
Producción,"4.640,00",13
Producción,"4.840,00",13
Producción,"5.880,00",13
Producción,"6.150,00",13
Producción,"6.250,00",13
Producción,"6.480,00",13
Producción,"7.400,00",13
Producción,"1.005,00",12
Producción,"1.032,00",12
Producción,"1.045,00",12
Producción,"1.089,00",12
Producción,"1.090,00",12
Producción,"1.216,00",12
Producción,"1.325,00",12
Producción,"1.332,00",12
Producción,"1.410,00",12
Producción,"1.455,00",12
Producción,"1.505,00",12
Producción,"1.536,00",12
Producción,"1.548,00",12
Producción,"1.596,00",12
Producción,"1.666,00",12
Producción,"1.704,00",12
Producción,"1.830,00",12
Producción,"11.700,00",12
Producción,"13.800,00",12
Producción,"17.600,00",12
Producción,"2.020,00",12
Producción,"2.150,00",12
Producción,"2.352,00",12
Producción,"2.394,00",12
Producción,"2.695,00",12
Producción,"21.600,00",12
Producción,"3.280,00",12
Producción,"3.720,00",12
Producción,"4.032,00",12
Producción,"4.230,00",12
Producción,"5.940,00",12
Producción,"6.240,00",12
Producción,"7.140,00",12
Producción,"8.450,00",12
Producción,"1.026,00",11
Producción,"1.078,00",11
Producción,"1.222,00",11
Producción,"1.274,00",11
Producción,"1.295,00",11
Producción,"1.305,00",11
Producción,"1.456,00",11
Producción,"1.475,00",11
Producción,"1.580,00",11
Producción,"1.674,00",11
Producción,"1.755,00",11
Producción,"1.770,00",11
Producción,"1.780,00",11
Producción,"1.782,00",11
Producción,"1.872,00",11
Producción,"1.904,00",11
Producción,"15.600,00",11
Producción,"2.010,00",11
Producción,"2.175,00",11
Producción,"2.320,00",11
Producción,"2.650,00",11
Producción,"2.925,00",11
Producción,"3.010,00",11
Producción,"3.432,00",11
Producción,"3.510,00",11
Producción,"3.575,00",11
Producción,"3.700,00",11
Producción,"3.825,00",11
Producción,"3.990,00",11
Producción,"4.100,00",11
Producción,"4.160,00",11
Producción,"4.300,00",11
Producción,"5.800,00",11
Producción,"6.720,00",11
Producción,"60.000,00",11
Producción,"7.650,00",11
Producción,"8.160,00",11
Producción,"9.200,00",11
Producción,"9.500,00",11
Producción,"1.010,00",10
Producción,"1.025,00",10
Producción,"1.070,00",10
Producción,"1.112,00",10
Producción,"1.134,00",10
Producción,"1.220,00",10
Producción,"1.232,00",10
Producción,"1.236,00",10
Producción,"1.309,00",10
Producción,"1.340,00",10
Producción,"1.356,00",10
Producción,"1.386,00",10
Producción,"1.408,00",10
Producción,"1.539,00",10
Producción,"1.665,00",10
Producción,"1.716,00",10
Producción,"1.810,00",10
Producción,"1.815,00",10
Producción,"1.925,00",10
Producción,"1.940,00",10
Producción,"11.250,00",10
Producción,"11.500,00",10
Producción,"12.960,00",10
Producción,"13.600,00",10
Producción,"16.200,00",10
Producción,"16.500,00",10
Producción,"19.200,00",10
Producción,"2.030,00",10
Producción,"2.205,00",10
Producción,"2.325,00",10
Producción,"2.355,00",10
Producción,"2.375,00",10
Producción,"2.535,00",10
Producción,"2.820,00",10
