anio,tipo_periodo,produccion_total_ton,area_cosechada_total_ha,rendimiento_calculado_ton_ha
2019,Anual,55703625.29,2782968.23,20.02
2019,Semestral,15588390.30,1976713.74,7.89
2020,Anual,56804703.72,2937003.53,19.34
2020,Semestral,16101741.39,2057397.55,7.83
2021,Anual,58943069.39,3013992.31,19.56
2021,Semestral,15260187.15,1974221.77,7.73
2022,Anual,60542385.40,3066530.86,19.74
2022,Semestral,15027291.32,1897134.26,7.92
2023,Anual,61918320.60,3068512.36,20.18
2023,Semestral,15269803.97,1951829.80,7.82
2024,Anual,63787688.81,3060992.93,20.84
2024,Semestral,15519014.39,1935996.82,8.02
2025,Anual,64535980.77,3080193.97,20.95
2025,Semestral,16812107.69,2042093.69,8.23
