departamento,municipio,cultivo,produccion_total_ton,area_cosechada_total_ha,rendimiento_ton_ha
Antioquia,Fredonia,Tomate,23545.00,158.00,149.02
Antioquia,Retiro,Tomate,40830.00,281.50,145.04
Antioquia,Entrerríos,Tomate,3120.00,22.00,141.82
"Valle del Cauca",Bugalagrande,Caña,9447376.27,66997.00,141.01
Nariño,Puerres,Tomate,11717.00,83.90,139.65
"Valle del Cauca",Cartago,Caña,4231129.30,30338.48,139.46
Cauca,Miranda,Caña,6624583.40,47572.00,139.25
"Valle del Cauca",Palmira,Caña,32660389.34,238636.00,136.86
Antioquia,Carolina,Tomate,7512.00,55.60,135.11
"Valle del Cauca",Ansermanuevo,Caña,1657645.00,12411.00,133.56
Cauca,Morales,Tomate,2080.00,16.00,130.00
Boyacá,Sutamarchán,Tomate,209365.80,1627.90,128.61
"Valle del Cauca",Yumbo,Caña,1727560.50,13505.30,127.92
"Valle del Cauca",Guacarí,Caña,11920387.80,93237.00,127.85
Cauca,"Santander de Quilichao",Caña,5250268.80,41085.55,127.79
Cundinamarca,Simijaca,Tomate,4111.50,32.20,127.69
"Valle del Cauca",Riofrío,Caña,2519860.00,19806.00,127.23
Santander,Vélez,Caña,820830.00,6528.00,125.74
"Valle del Cauca",Florida,Caña,9624851.20,76558.80,125.72
Cauca,"Villa Rica",Caña,4016885.57,32119.00,125.06
"Valle del Cauca","Guadalajara de Buga",Caña,6646300.00,53959.00,123.17
Antioquia,Rionegro,Tomate,19598.00,159.50,122.87
Boyacá,Duitama,Tomate,6256.00,51.40,121.71
"Valle del Cauca",Candelaria,Caña,20830413.50,172595.00,120.69
"Valle del Cauca","El Cerrito",Caña,14250600.00,118755.00,120.00
Cundinamarca,Cabrera,Tomate,28800.00,240.00,120.00
Antioquia,Marinilla,Tomate,313560.00,2613.00,120.00
Antioquia,Sonsón,Tomate,36960.00,308.00,120.00
Antioquia,"La Ceja",Tomate,37452.00,312.10,120.00
Santander,Bolívar,Caña,169440.00,1412.00,120.00
Santander,Charta,Tomate,2880.00,24.00,120.00
Santander,"Palmas del Socorro",Caña,96120.00,801.00,120.00
Santander,Encino,Caña,37200.00,310.00,120.00
Cauca,Guachené,Caña,4222278.22,35521.00,118.87
Boyacá,"San José de Pare",Caña,3102860.00,26198.00,118.44
"Valle del Cauca",Zarzal,Caña,9867793.40,83340.26,118.40
Santander,Suaita,Caña,2931160.00,24892.00,117.76
Santander,Páramo,Caña,631150.00,5375.00,117.42
Boyacá,Chitaraque,Caña,3651020.00,31302.00,116.64
"Valle del Cauca",Yotoco,Caña,2422200.00,20876.00,116.03
"Valle del Cauca",Obando,Caña,6707526.20,57840.50,115.97
Huila,Saladoblanco,Caña,97980.00,846.00,115.82
"Valle del Cauca","La Victoria",Caña,1295735.23,11264.00,115.03
Cauca,Caloto,Caña,2339295.78,20342.00,115.00
Caldas,Viterbo,Caña,2161646.22,18846.80,114.70
Nariño,Linares,Tomate,9510.00,83.00,114.58
"Valle del Cauca",Roldanillo,Caña,2331878.19,20366.27,114.50
"Valle del Cauca",Pradera,Caña,8439294.00,74000.00,114.04
Boyacá,Busbanzá,Tomate,3400.00,30.00,113.33
"Valle del Cauca",Andalucía,Caña,3322231.40,29399.12,113.00
Santander,Mogotes,Caña,733405.00,6523.00,112.43
Boyacá,Guacamayas,Tomate,3026.00,27.00,112.07
Nariño,Potosí,Tomate,112.00,1.00,112.00
Boyacá,Togüí,Caña,1782730.00,15993.00,111.47
Quindío,Filandia,Tomate,35060.00,315.00,111.30
Santander,Confines,Caña,497000.00,4476.00,111.04
Antioquia,Medellín,Tomate,31706.40,285.84,110.92
Huila,Palestina,Caña,43120.00,390.00,110.56
Cauca,Padilla,Caña,5216301.24,47204.00,110.51
Antioquia,"El Santuario",Tomate,88110.00,801.00,110.00
"Valle del Cauca",Ginebra,Caña,2348710.50,21407.00,109.72
Santander,Guapotá,Caña,105000.00,958.00,109.60
Antioquia,"San Vicente Ferrer",Tomate,135910.00,1244.00,109.25
Cauca,"La Sierra",Caña,803144.18,7360.00,109.12
Santander,"San Benito",Caña,1670650.00,15560.00,107.37
"Norte de Santander",Labateca,Tomate,11580.00,108.00,107.22
Cauca,Corinto,Caña,2630161.92,24774.00,106.17
"Valle del Cauca",Bolívar,Caña,537552.00,5069.00,106.05
"Valle del Cauca","San Pedro",Caña,3932314.00,37201.80,105.70
Antioquia,Peñol,Tomate,439534.00,4167.00,105.48
"Valle del Cauca","La Unión",Caña,1330653.05,12673.00,105.00
Antioquia,Urrao,Tomate,35507.00,338.40,104.93
"Valle del Cauca",Jamundí,Caña,6761610.00,64991.50,104.04
Antioquia,Concepción,Tomate,2125.00,20.45,103.91
Antioquia,Jardín,Tomate,21926.50,212.00,103.43
Santander,Oiba,Caña,136200.00,1320.00,103.18
Santander,Chima,Caña,13720.00,133.00,103.16
"Valle del Cauca",Trujillo,Caña,159920.80,1554.80,102.86
Santander,California,Tomate,7773.30,76.10,102.15
Huila,Isnos,Caña,2924628.00,28696.00,101.92
Santander,Barbosa,Caña,376018.00,3699.00,101.65
Nariño,Samaniego,Tomate,15488.44,153.96,100.60
Santander,"San Gil",Caña,196000.00,1960.00,100.00
Santander,Güepsa,Caña,1623140.00,16232.00,100.00
Santander,Guadalupe,Caña,89900.00,899.00,100.00
"Valle del Cauca","Santiago de Cali",Caña,3254953.50,32550.00,100.00
Boyacá,Pachavita,Tomate,34800.00,348.00,100.00
Boyacá,Chíquiza,Tomate,10500.00,105.00,100.00
Antioquia,Ituango,Tomate,1150.00,11.50,100.00
Antioquia,Necoclí,Piña,4500.00,45.00,100.00
Antioquia,Nariño,Tomate,900.00,9.00,100.00
Santander,Curití,Caña,13440.00,135.50,99.19
"Valle del Cauca",Vijes,Caña,152248.00,1541.00,98.80
Nariño,Santacruz,Tomate,395.00,4.00,98.75
Nariño,Albán,Tomate,105927.15,1076.45,98.40
Cundinamarca,Choachí,Tomate,9965.00,101.50,98.18
"Valle del Cauca",Tuluá,Caña,5484737.00,55927.00,98.07
Risaralda,"La Virginia",Caña,161595.68,1651.80,97.83
Boyacá,"Villa de Leyva",Tomate,499743.00,5115.50,97.69
Cesar,González,Tomate,18014.50,184.85,97.45
Antioquia,"San Andrés de Cuerquía",Tomate,952.00,9.80,97.14
Risaralda,Marsella,Tomate,21504.00,224.00,96.00
"Valle del Cauca",Toro,Caña,1370280.00,14279.00,95.96
Huila,"San Agustín",Caña,1764400.00,18396.00,95.91
Santander,Macaravita,Tomate,950.00,10.00,95.00
Atlántico,Soledad,Caña,190.00,2.00,95.00
Risaralda,"Belén de Umbría",Caña,120627.08,1275.30,94.59
Santander,Socorro,Caña,165915.00,1759.00,94.32
Antioquia,"San Pedro de Los Milagros",Tomate,1640.90,17.62,93.13
Nariño,Guaitarilla,Tomate,43379.50,469.00,92.49
"Valle del Cauca",Caicedonia,Caña,84768.62,919.00,92.24
Caldas,"San José",Caña,157307.87,1728.00,91.03
Santander,"San Joaquín",Tomate,5638.00,62.00,90.94
Nariño,Imués,Tomate,13798.78,152.10,90.72
Risaralda,"Santa Rosa de Cabal",Tomate,26899.00,297.00,90.57
Santander,"Puente Nacional",Caña,23310.00,259.00,90.00
Boyacá,Santana,Caña,1754280.00,19492.00,90.00
Boyacá,Miraflores,Tomate,34299.00,381.10,90.00
Meta,Granada,Caña,63180.00,702.00,90.00
Nariño,"El Tambo",Tomate,18129.50,202.50,89.53
Risaralda,Balboa,Caña,920392.00,10291.00,89.44
Caldas,Villamaría,Tomate,14842.00,166.00,89.41
Risaralda,Dosquebradas,Tomate,2082.00,23.30,89.36
Huila,Timaná,Caña,22515.00,252.00,89.35
Santander,"San Joaquín",Caña,17230.00,194.00,88.81
Nariño,Mallama,Tomate,5377.40,60.60,88.74
Cundinamarca,Pacho,Tomate,69010.00,779.00,88.59
Antioquia,"Ciudad Bolívar",Caña,20800.00,235.00,88.51
Nariño,Albán,Caña,191440.00,2177.00,87.94
Boyacá,"Santa Sofía",Tomate,75075.00,860.00,87.30
Risaralda,"Santa Rosa de Cabal",Caña,2440.00,28.00,87.14
Cauca,"Piendamó - Tunía",Tomate,4580.00,53.00,86.42
Cauca,Mercaderes,Caña,129720.00,1504.00,86.25
Santander,Gámbita,Caña,573760.00,6654.00,86.23
"Valle del Cauca","La Victoria",Tomate,1000.10,11.60,86.22
Nariño,Ancuya,Caña,667705.40,7772.52,85.91
Antioquia,Guarne,Tomate,124030.00,1449.00,85.60
Nariño,Belén,Tomate,598.46,7.01,85.37
Antioquia,"San Jerónimo",Tomate,3196.00,37.60,85.00
Boyacá,Sáchica,Tomate,92078.00,1083.50,84.98
Nariño,"San Pablo",Tomate,20912.00,248.00,84.32
Boyacá,Turmequé,Tomate,11395.00,136.00,83.79
"La Guajira","San Juan del Cesar",Caña,22900.00,274.00,83.58
Santander,Chipatá,Caña,804990.00,9633.50,83.56
Huila,Nátaga,Caña,35657.94,427.91,83.33
Cauca,Caldono,Tomate,12889.00,155.00,83.15
Boyacá,Páez,Tomate,249.00,3.00,83.00
Huila,Aipe,Caña,74489.00,898.75,82.88
Antioquia,Abriaquí,Tomate,4630.50,56.00,82.69
Santander,Molagavita,Caña,49280.00,596.00,82.68
Risaralda,"La Celia",Tomate,4363.20,52.80,82.64
Boyacá,Nobsa,Tomate,28674.00,347.00,82.63
Santander,Cerrito,Tomate,5447.50,66.00,82.54
Risaralda,"La Celia",Caña,10982.50,134.00,81.96
Huila,Villavieja,Caña,10555.70,129.12,81.75
Cundinamarca,Susa,Tomate,18614.00,228.00,81.64
