departamento,cultivo,area_cosechada_ha,produccion_ton,rendimiento_ton_ha,categoria_rendimiento
Sucre,Café,8.00,2.00,0.25,"Bajo rendimiento"
Guainía,Cacao,8741.00,2422.93,0.28,"Bajo rendimiento"
Atlántico,Cacao,52.00,15.20,0.29,"Bajo rendimiento"
Antioquia,Haba,30.90,9.16,0.30,"Bajo rendimiento"
Atlántico,"Otros cultivos para condimentos, bebidas medicinales y aromáticas",25.00,8.75,0.35,"Bajo rendimiento"
Vaupés,Cacao,796.46,295.92,0.37,"Bajo rendimiento"
Quindío,"Plantas aromáticas",1.40,0.57,0.41,"Bajo rendimiento"
Nariño,Cacao,136640.02,59585.01,0.44,"Bajo rendimiento"
Putumayo,"Cebolla de rama",4.30,1.95,0.45,"Bajo rendimiento"
Risaralda,Cacao,11438.30,5591.15,0.49,"Bajo rendimiento"
Caquetá,Cacao,27838.50,14018.09,0.50,"Bajo rendimiento"
Cauca,Achiote,0.30,0.15,0.50,"Bajo rendimiento"
Cauca,Morera,5.00,2.50,0.50,"Bajo rendimiento"
"Norte de Santander",Fique,59.00,29.25,0.50,"Bajo rendimiento"
Santander,"Otros cultivos para condimentos, bebidas medicinales y aromáticas",0.20,0.10,0.50,"Bajo rendimiento"
Sucre,Cacao,2056.00,1022.22,0.50,"Bajo rendimiento"
Cauca,Haba,58.50,29.74,0.51,"Bajo rendimiento"
Cauca,Cimarrón,170.00,88.00,0.52,"Bajo rendimiento"
"Valle del Cauca",Arazá,20.00,10.40,0.52,"Bajo rendimiento"
Córdoba,Cacao,22939.40,12171.64,0.53,"Bajo rendimiento"
Amazonas,Cacao,568.00,304.33,0.54,"Bajo rendimiento"
Chocó,Cacao,36656.00,19633.64,0.54,"Bajo rendimiento"
Guaviare,Cacao,12467.00,6739.14,0.54,"Bajo rendimiento"
Boyacá,Cacao,32050.40,17563.27,0.55,"Bajo rendimiento"
Cauca,Cacao,21699.40,11990.25,0.55,"Bajo rendimiento"
Magdalena,Cacao,20623.75,11458.56,0.56,"Bajo rendimiento"
Tolima,Cacao,80508.50,45287.64,0.56,"Bajo rendimiento"
Arauca,Café,677.11,388.34,0.57,"Bajo rendimiento"
Boyacá,Fique,236.10,133.40,0.57,"Bajo rendimiento"
Putumayo,Cacao,34893.50,20027.59,0.57,"Bajo rendimiento"
Antioquia,Cacao,159893.88,95145.40,0.60,"Bajo rendimiento"
Bolívar,Cacao,44386.00,26474.88,0.60,"Bajo rendimiento"
Cundinamarca,Cacao,48051.30,28903.08,0.60,"Bajo rendimiento"
"Norte de Santander",Cacao,74437.18,44801.17,0.60,"Bajo rendimiento"
Santander,Cacao,410092.60,245152.02,0.60,"Bajo rendimiento"
Huila,Cacao,52836.48,32661.70,0.62,"Bajo rendimiento"
"Valle del Cauca",Cacao,10014.84,6173.43,0.62,"Bajo rendimiento"
Cesar,Cacao,54559.20,34133.98,0.63,"Bajo rendimiento"
Meta,Cacao,65090.68,41246.27,0.63,"Bajo rendimiento"
"La Guajira",Cacao,4888.00,3199.06,0.65,"Bajo rendimiento"
Magdalena,Café,111136.13,74369.44,0.67,"Bajo rendimiento"
Vichada,Cacao,4463.00,2992.35,0.67,"Bajo rendimiento"
Arauca,Cacao,133737.80,90939.13,0.68,"Bajo rendimiento"
Casanare,Cacao,13679.45,9368.39,0.68,"Bajo rendimiento"
Amazonas,Cimarrón,112.50,80.00,0.71,"Bajo rendimiento"
Caldas,Cacao,31075.70,22162.23,0.71,"Bajo rendimiento"
Amazonas,Ají,183.54,131.44,0.72,"Bajo rendimiento"
Córdoba,Café,15.90,11.52,0.72,"Bajo rendimiento"
Vaupés,"Uva Caimarona",70.80,51.15,0.72,"Bajo rendimiento"
Cauca,"Sacha inchi",243.74,178.40,0.73,"Bajo rendimiento"
