grupo_cultivo,subgrupo,cultivo,ciclo_cultivo,produccion_total_ton,area_cosechada_total_ha,rendimiento_ton_ha
"Cultivos tropicales tradicionales","Cultivos tropicales tradicionales",Caña,Permanente,310859291.50,3438233.87,90.41
Frutales,"Demás frutales",Plátano,Permanente,32648929.84,3118577.11,10.47
"Raíces y tubérculos","Raíces y tubérculos",Papa,Transitorio,27845454.17,1279241.99,21.77
Cereales,Cereales,Arroz,Transitorio,25873611.96,4628415.33,5.59
Frutales,"Demás frutales",Banano,Permanente,17517260.40,717408.45,24.42
"Raíces y tubérculos","Raíces y tubérculos",Yuca,Transitorio,16891825.76,1448554.46,11.66
Oleaginosas,Oleaginosas,"Palma de aceite",Permanente,15561623.07,4358673.62,3.57
Cereales,Cereales,Maíz,Transitorio,11460348.00,3597517.53,3.19
Frutales,"Demás frutales",Aguacate,Permanente,7238242.18,706292.57,10.25
Frutales,"Demás frutales",Piña,Permanente,6308349.09,159194.51,39.63
Hortalizas,"Hortalizas de fruto",Tomate,Transitorio,6206139.61,121883.76,50.92
"Cultivos tropicales tradicionales","Cultivos tropicales tradicionales",Café,Permanente,5427917.79,4830185.38,1.12
Frutales,Cítricos,Naranja,Permanente,4390591.12,276825.61,15.86
Frutales,Cítricos,Limón,Permanente,3184416.96,247594.40,12.86
"Raíces y tubérculos","Raíces y tubérculos",Ñame,Transitorio,2942292.78,246434.46,11.94
Frutales,"Demás frutales",Mango,Permanente,2657415.55,252456.04,10.53
Hortalizas,"Hortalizas de tallo","Cebolla de rama",Transitorio,2626488.60,95748.52,27.43
Hortalizas,"Hortalizas de raíz",Zanahoria,Transitorio,2027091.74,70568.11,28.73
Hortalizas,"Hortalizas de raíz","Cebolla de bulbo",Transitorio,1975518.81,92804.96,21.29
Frutales,Cítricos,Mandarina,Permanente,1946658.93,121605.82,16.01
Hortalizas,"Hortalizas de fruto",Patilla,Transitorio,1596593.82,91000.78,17.54
Frutales,Solanáceas,"Tomate de árbol",Permanente,1418139.10,81192.44,17.47
Frutales,Pasifloráceas,Maracuyá,Permanente,1376374.58,82325.66,16.72
Oleaginosas,Oleaginosas,Soya,Transitorio,1372493.48,547138.04,2.51
Frutales,Cítricos,"Otros cítricos",Permanente,1225488.92,77972.65,15.72
Frutales,"Demás frutales",Mora,Permanente,1123369.39,111347.11,10.09
Frutales,"Demás frutales",Papaya,Permanente,1121944.93,51047.33,21.98
Hortalizas,"Hortalizas de fruto",Ahuyama,Transitorio,1071241.39,100997.50,10.61
Frutales,Mirtáceas,Guayaba,Permanente,1071216.90,81134.20,13.20
Leguminosas,Leguminosas,Frijol,Transitorio,1052336.82,682317.16,1.54
Frutales,Aráceas,Coco,Permanente,943581.27,142110.91,6.64
"Cultivos tropicales tradicionales","Cultivos tropicales tradicionales",Cacao,Permanente,914217.60,1560740.15,0.59
Hortalizas,"Hortalizas de hoja",Lechuga,Transitorio,849445.17,35334.62,24.04
"Raíces y tubérculos","Raíces y tubérculos",Arracacha,Transitorio,816963.72,65672.32,12.44
Frutales,"Demás frutales",Fresa,Permanente,725607.06,20448.65,35.48
Frutales,Solanáceas,Lulo,Permanente,683301.90,67013.20,10.20
Hortalizas,Hortalizas,"Otras hortalizas",Transitorio,545118.52,45378.71,12.01
Hortalizas,"Hortalizas de fruto",Melón,Transitorio,533788.91,34398.38,15.52
Leguminosas,Leguminosas,Arveja,Transitorio,495136.41,198725.10,2.49
Frutales,Aráceas,Chontaduro,Permanente,443867.98,75160.62,5.91
Hortalizas,"Hortalizas de fruto",Pimentón,Transitorio,443109.97,23991.12,18.47
Frutales,Anonáceas,Guanábana,Permanente,405294.17,39416.83,10.28
Leguminosas,Leguminosas,Habichuela,Transitorio,351522.92,41799.55,8.41
Frutales,"Demás frutales",Marañón,Permanente,310710.92,42455.30,7.32
Hortalizas,"Hortalizas de hoja",Repollo,Transitorio,302470.65,8758.59,34.53
Hortalizas,"Hortalizas de hoja",Cilantro,Transitorio,298963.21,35691.24,8.38
Frutales,Pasifloráceas,Granadilla,Permanente,294413.59,26012.06,11.32
Hortalizas,"Hortalizas de fruto",Ají,Transitorio,253594.07,31943.71,7.94
"Raíces y tubérculos","Raíces y tubérculos","Malanga, achín, yota, papa china, bore",Transitorio,252869.65,36890.52,6.85
Frutales,Caducifolios,Pera,Permanente,230162.76,11235.95,20.48
Frutales,"Demás frutales",Uva,Permanente,224656.48,19402.08,11.58
Frutales,Pasifloráceas,"Gulupa o cholupa",Permanente,223409.33,14057.99,15.89
Hortalizas,"Hortalizas de fruto","Pepino Cohombro",Transitorio,203289.05,11835.78,17.18
Frutales,Caducifolios,"Durazno o albaricoque",Permanente,200919.36,14450.94,13.90
Frutales,Aráceas,Asaí,Permanente,184797.65,30600.99,6.04
Hortalizas,"Hortalizas de raíz",Remolacha,Transitorio,144881.63,5362.64,27.02
Frutales,"Demás frutales",Pitahaya,Permanente,134645.07,12916.33,10.42
Frutales,Caducifolios,Ciruela,Permanente,127617.74,9444.43,13.51
Frutales,Solanáceas,Uchuva,Permanente,124003.57,9898.48,12.53
"Raíces y tubérculos","Raíces y tubérculos",Achira,Transitorio,119305.28,17926.96,6.66
Frutales,"Demás frutales",Borojó,Permanente,113017.81,21611.50,5.23
Hortalizas,"Hortalizas de flor",Brócoli,Transitorio,107982.64,5603.92,19.27
"Cultivos tropicales tradicionales","Cultivos tropicales tradicionales",Algodón,Transitorio,106918.07,62447.18,1.71
Frutales,Cítricos,Lima,Permanente,106396.81,6247.30,17.03
"Cultivos tropicales tradicionales","Cultivos tropicales tradicionales",Fique,Permanente,105092.93,90324.45,1.16
