ciclo_cultivo,anio,tipo_periodo,area_sembrada_total_ha,area_cosechada_total_ha,produccion_total_ton,rendimiento_ton_ha
Permanente,2019,Anual,3219661.85,2782557.43,55697940.54,20.02
Transitorio,2019,Anual,448.10,410.80,5684.75,13.84
Permanente,2019,Semestral,2142.00,2037.50,10018.65,4.92
Transitorio,2019,Semestral,2041863.70,1974676.24,15578371.65,7.89
Permanente,2020,Anual,3298111.24,2936528.46,56798382.62,19.34
Transitorio,2020,Anual,526.57,475.07,6321.10,13.31
Permanente,2020,Semestral,1725.33,1692.06,8863.26,5.24
Transitorio,2020,Semestral,2151851.64,2055705.49,16092878.13,7.83
Permanente,2021,Anual,3336600.38,3013452.07,58939710.63,19.56
Transitorio,2021,Anual,591.84,540.24,3358.76,6.22
Transitorio,2021,Semestral,2087503.51,1974221.77,15260187.15,7.73
Permanente,2022,Anual,3374643.37,3065996.87,60538717.83,19.75
Transitorio,2022,Anual,610.80,533.99,3667.57,6.87
Transitorio,2022,Semestral,1986239.29,1897134.26,15027291.32,7.92
Permanente,2023,Anual,3404768.44,3067942.30,61915084.63,20.18
Transitorio,2023,Anual,611.26,570.06,3235.97,5.68
Transitorio,2023,Semestral,2071519.36,1951829.80,15269803.97,7.82
Permanente,2024,Anual,3429016.95,3060432.92,63784212.44,20.84
Transitorio,2024,Anual,660.01,560.01,3476.37,6.21
Transitorio,2024,Semestral,2082984.55,1935996.82,15519014.39,8.02
Permanente,2025,Anual,3449551.16,3079573.96,64532154.58,20.95
Transitorio,2025,Anual,666.31,620.01,3826.19,6.17
Transitorio,2025,Semestral,2150710.19,2042093.69,16812107.69,8.23
